,favorites,recommendations,requirements,assessorUnderstanding,feedbackRating,ratingDescription,helpfulWays,draftChanges,techniqueErrorsRating,techniqueErrorsDescription,structureSuggestionsRating,structureSuggestionsDescription,substanceCommentsSuggestionsRating,substanceCommentsDescription,q_articulation,q_thewhy,q_specificity,q_tone,q_technique,q_structure,q_substance
68,"I enjoyed the idea of writing a children's book. Asking students to create a story for a younger audience using elements like plot and a theme of ""choices"" really proves if a students understands the concepts taught in the unit. If a student can teach something well, they know it. The children's book is an extension of that idea. Through the book, students are ""teaching"" plot, main idea, supporting details, and the idea of ""choice"" and important decisions. ","I see that you have characterization worksheets listed for a summative assessment. Have you thought about, once students start working on their books, having the students use a characterization sheet for their own characters?, How are you going to prime students to begin thinking like a parent? Are you going to look at children's books prior to the task? How will students grasp the idea of what they should be creating ""as a parent""?, How can you utilize the pictures and illustrations students put in their books as another way for you to see and conceptualize their understanding?",The draft follow the requirements of the assignments by including an engaging real-world application of the skills being developed in the unit. The task is formatted to gauge the multiple understandings of the students related to all of the skills and knowledge they will develop over the course of the unit. Creating a children's book is a real-world task that adults do. Engaging a younger audience is a task that many adults face. The draft also expresses the various summative and formative assessments that Red will use to gauge student understanding.,It suggested many improvements.,1.0,It suggested many improvements.,It suggested many improvements.,I will have students connect all the standards explicitly to their own book. It will deepen understanding and hopefully show more mastery.,3.0,This is irrelevant.,5.0,It suggested many improvements.,5.0,It suggested many improvements.,5.0,3.5,3.5,4.5,1.0,1.0,4.0
77,I think this is to the point and easy to understand.  Students will have a clear picture of what they're doing and why they're doing it.,"Did you forget to include other evidence?  I think this section includes formative assessments throughout the unit that is not accounted for in the final product., What will student slideshows contain, exactly?, How will you check for understanding throughout the unit to be sure students can produce this final product?",The GRASPS is perfect for the age group and is well assigned.  I think this stage of the draft follows the planning in Stage 1 appropriately.,not sure that i can,0.0,I have too many other demands on my time to decide if i feel one way or another emotionally about what they said.,"I hadn't thought about writing out specific expectations for the slideshows and what should be on them, i was trying to allow for student creativity, but I see that they should also have parameters to follow for them to develop that assignment.",I will add additional detail and another set of expectations for students,3.0,"no errors only refinement, don't like the word error",3.0,I highly appreciate another set of eyes on my work and helping me to move forward on developing my materials,3.0,"it was helpful to receive affirmation on decisions i've made on what students will cover, that additonal set of eyes is invaluable",4.0,2.0,2.0,4.0,1.0,1.0,3.0
86,"I liked how students will be able to use their own language to develop a sense of the word ""hero.""","How is this going to stretch students' abilities? , What is the real-world application, beyond creating a self-definition of the word ""hero""?, How are you making sure your instructions are clear and precise? (Some grammar errors between you and your)",The draft has a clear direction that the students should be able to run with.,They didn't really understand it since their focus was on real world application rather than language development in ESL students which is an inherent real world application.,0.0,"It felt like hasty ""have to give feedback"" feedback. ",The assessment did not give much way into how to develop the lesson more. It did clarify a few errors I had.,I will fix my grammar errors.,2.0,They caught grammar errors and nothing else.,2.0,No suggestions given.,2.0,None were given.,5.0,3.5,3.5,4.0,2.0,2.0,3.0
93,"The connection to real world issues such as poverty by exploring literature as a combination of multiple sources of media is an excellent idea. Students are compelled to think about ways that their research skills may be applied to bring social change within their own community, and this makes the project very relevant to the everyday conditions and realities of the community around them. ","Would students simply submit all of their materials to you (infographic charts, essays, etc.) or would they orally present these to you? If they are to orally present to you, which other standards would this assignment fulfill?, Can you include a mini-rubric to be more specific about the performance level descriptors for each proficiency level for the skills being evaluated?, How would you be able to differentiate and offer the students more agency in choosing their product?",The GRASPS performance task is clearly outlined and appropriately formulated for the grade level.,"The assessor gave me specific feedback in the ""what did you like"" portion, which makes me feel like they clearly understood my intentions with this draft. ",1.0,"It was nice what they told me I did well. Also, their questions were very specific, which makes me think that there are only minor things that have to be fixed with the draft. ","This assessment was helpful because it had me think about logistical things (rubric, how they will submit information). This helps me refine my performance assessment in order to have a clear idea about what I will do. ","I incorporated the specific feedback. For example, I included a portion that outlines that the audience is myself and other students in the class. In addition, I added Speaking and Listening standards to the performance assessment because they will be working on those skills when they present. Finally, I included information about developing the rubric at a later date. ",3.0,They helped me see that there were a few small pieces missing that I still had to include.,4.0,They helped me see that there were a few small pieces missing that I still had to include.,3.0,They didn't suggest too many things that had to be fixed as it related to the substance of my work.,5.0,3.5,4.0,4.0,1.0,2.0,4.0
94,I like the assignment to encourage students on the merits of activism.,"Will students receive a list of activist movements they can pursue? That way you can prime their thinking with a list of various roles?, Will there be roles on the city council (moderator, admin, judge, etc) for students so they can fulfill different roles?, What other evidence can we use for mastery besides the three-minute speech and summary? Could there be another activity or quiz related to civics that students can do to learn about the various nuances of public speaking and public work? ",The assignment fulfills the requirements of the assignment by providing a differentiated and outlined goal for the students who will be doing a GRASP task.,They understood the requirements for GRASP,0.0,This way of giving feedback is not that useful.,It provide different ideas of how to assess mastery.,Small minor changes in the details regarding assessing their knowledge.,2.0,They were not looking for grammatical errors.,3.0,They provide a good idea of jobs within the city council.,3.0,They gave some useful feedback.,4.0,3.5,4.5,3.5,1.0,2.5,4.5
101,"You have developed a firm grasp on what skills and standards you would like your students to learn from throughout this unit. You address them quite specifically and purposefully with your performance task, as well as with the essential questions you have asked. ","Will you allow them to present their letters to a group or to the whole class, so they can compare their ideas and interpretations of the most important sections in the text with one another?, How will the students relate their personal experiences to those of the characters within the novel? If you really want them to connect with the themes in the story, allow them to find experiences/feelings they have and tie them to the events/themes within the novel. , How will the change you make to the Performance task (since you said that it had changed after another peer's feedback) still address the standards that you want to cover? Will it remain as personal and real-world as the letter you initially wanted them to create?","The specific requirements of the performance task aligns quite well with the standards you are looking to address, and they go along with many of the overarching understandings you have listed. I quite like how personal the product is as the themes are dealing with ideas such as self-construction, relationships to others, and identity influencing choices. ","Yes, I could tell that the assessor understood what I was intending with my draft.",1.0,Because they were incredibly positive with their comments and then gave good questions to allow for an easy revision.,"This assessment was helpful because it allowed me to think about ways to enhance this assignment, including the idea that I should have them write to people in their class or in the other seventh grade and then perhaps allow for a response. I think that it is important that the students are able to relate their experiences to the characters that they are reading in the book and this is a great way to make sure that that happens.",I will make changes to incorporate more of a dialogue to get the students to think about the characters and the roles they play.,4.0,My peer was great at catching ways to enhance my draft!,3.0,The structure was already provided to me by our professor.,4.0,They were incredibly helpful in asking good questions that will allow me to better my work.,5.0,5.0,4.5,4.0,1.0,1.0,4.0
116,"The author provided many opportunities to guide themselves as they create the unit, especially in the form of objectives, guiding questions, engagement strategies, graphic organizers, lesson ideas, etc. ","Who are you writing THIS unit plan for? It appears that this is very technical, and loaded with many high-level and ""Teacher's College"" ideals. Remember, this assignment is meant to guide YOU as you create the unit plan, not to appease any other person's idea of a what a unit plan should be. Think about writing ideas (especially in the hook, experience and explore, and organize sections) that will be more functional for you. , How will you engage students in the idea of letter writing, besides in creating active change in their community? Some students may be put-off by the idea if they don't see their real world (social media & teenage life) relevancy. , How will you incorporate creativity more into this project? Besides the students picking their own topics, how will you engage their creative sides? Will you have them create corresponding art pieces, media samples, dioramas, present it to their peers and community, etc.?","The draft has all of the necessary areas of Stage 3 completed, with objectives and guiding questions provided frequently throughout. The assignment appears to have a concrete goal (to prove to students that letter-writing is effective, worthwhile, and an essential skill in a variety of occasions). ",I do not fell the reviewer understood the complexity of the standards for ELL students and how it is necessary it is to scaffold and differentiate for ELL's.,-1.0,The reviewer does not teach ELL students and the unit is priovided by the district.,I will consider having them create art or dioramas and present to the class.,"I would consider options for students to create corresponding art pieces, media samples, dioramas, present it to their peers and community, etc.?",1.0,No review was given on grammar,3.0,No changes were offered for the length of the paper.,2.0,The feedback seemed like an attack on the unit plan that is developed buy the district.,5.0,3.5,4.5,3.0,1.0,2.0,4.0
125,I like the usage of multimedia mentioned in the experience and exploration section of the learning plan.,"When would this unit occur during the academic calendar year? Beginning, after winter break, or towards the end?, What information would be necessary in terms of pre-teaching so students could start to understand the concept of imperialism?, Would you be able to implement an activity of some sort? A game like Risk would offer a tangible way to see the effects of imperialism, and might be appropriate given the age level of the students.",The learning plan appropriately addresses all elements of Stage 3.,They provided topical feedback.,0.0,It wasn't incredibly helpful but it was okay.,It was straight to the point and informative.,"I will strongly consider incorporating the game ""Risk"" into the mix. ",3.0,Not very helpful.,3.0,It was helpful because it made me think about logistics.,3.0,It helped me a little bit in wanting to add how I will assess reading.,5.0,2.5,4.0,4.0,1.0,1.0,3.0
129,"I love the high rigor of the assignment, but yet it is broken down into achievable non-intimidating chunks.","Are students reading full unabridged versions of the stories?  If so, how did you prepare them for the experience., What is the differentiation like for students that would struggle with the entire unit?, I really don't have a third question, there is wonderful rigor in having students consider both sides of the story and even different versions like if the families were actually friends.",The draft is highly detailed in walking the students through the assignment and uses user friendly comparisons to assist the students in connecting with expectations.,"I think that a main part of my planning was based on rigor, so this assessor really saw my vision for the unit. ",1.0,It made me feel as though my unit is strong,This was very helpful to me!,Think of differentiation strategies,3.0,There were no grammar edits,4.0,They were helpful because I was able to see what someone else thought and I didn't even think about a student who would struggle with the entire unit.,4.0,Very helpful in terms of modifications,5.0,3.5,2.5,4.0,1.0,1.0,3.0
132,I like how you call on the Hispanic heritage as something important to understand.,"What is the real life application students are going to practice as a result of learning about their heritage?, Could students do some type of family history to have a real world connection to the unit?, What are the standards you will be grading the speaking portion on? ",It has a lesson plan that relates to students' heritage.,The assessor understood that the unit was very important for my students' identity.,1.0,The questions were helpful!,The assessment remained me to also focus on student's connection to the content.,I will have students write an essay about their own family heritage stories.,3.0,The assessor was very objective and helpful.,3.0,The assessor provided a clear example on how to improve the unit.,3.0,Very good ideas!,4.5,2.5,4.0,3.5,2.0,1.5,4.0
134,I really like how detail oriented Conner is.  He really has everything carefully planned out and integrates many different concepts into this lesson plan and I think that will be beneficial for his students.  He does a great job of drafting this unit for the needs of his students as well.,"Do you have a calendar?  She mentioned that you needed to have a calendar (like the example in the book) , Are your social issues going to focus primarily on things relevant to their lives or on things that are experienced throughout the entire world?  I think there are benefits to both, but one might be more relatable to students.  , How can you effectively present these different topics to the other people in the class?  Would presentations be the best way or would a Gallery Walk be beneficial? ",The draft does a really good job of outlining what is needed in this assignment.  I think each stage is carefully thought out and follows the assignment very well.  I think this unit plan is a great way to implement these challenging topics into a unit so that the students can understand.  Conner does a great job of outlining the different ways in which he can break things down for students.,They asked questions that were aligned to my objectives.,0.0,This type of feedback could be done in person.,This review provide a lot of details I could fix.,I will add a calendar.,3.0,I do not think they were looking for grammar errors.,3.0,They provide good feedback.,3.0,"Yes, they gave me some good options to add.",5.0,4.0,4.5,4.5,3.5,2.5,3.0
135,Students are given choice throughout the whole project.,"Can you add a calendar so it is clear what your students will do or accomplish on each day or week of the unit?, How will you measure the standards throughout the unit? What assessments will you use?, There are a few minor grammar and punctuation mistakes. Could you have someone look over it in class to edit?",The boxes are completed and give an idea of how the students will get to the final assessment.,They followed directions properly.,0.0,Feedback would be more beneficial in person.,Helping me fix grammatical errors.,I will add a calendar.,3.0,They found a few.,3.0,They provided more details to add.,3.0,They provide some improvements.,5.0,3.5,5.0,3.0,4.0,2.0,5.0
142,Philosophical chairs to hook the students' engagement and create a deeper understanding of the text from different perspectives.,"How will you differentiate or assist students with lower engagement ability to participate in the philosophical chairs?, How will you assess the philosophical chair exercise?, What will you provide students that miss or do not participate in any aspect of the unit plan?",In stage III there is ample evidence that the teacher has provided sufficient information on the learning plan.  Each aspect of level III is focused and well organized on grade level engagement and student opportunity for growth and understanding.  Each step of level III offers support from the teacher and scaffolds the lesson from most basic understanding to more complex thinking.,I can tell that the assessor understood what I was intending with my draft based off of what they focused on in regards to my draft.,1.0,The assessor helped me see some things I missed in my planning and that will help my students in the future.,This assessment allowed me to see where some of the gaps were in my thinking and planning. Having another person look at the stages that I created allow me to see places where I didn't think everything through.,I am going to look into my activity of philosophical chairs and add some more differentiation.,5.0,The assignment doesn't focus on grammar and typos.,5.0,The assignment doesn't focus on structure.,5.0,My peer focused on a key factor of my stage 3 and provided great feedback based on that factor.,5.0,3.0,4.5,3.0,1.0,2.0,5.0
160,I liked the diversity of outputs that the draft contained within the acquisition section. It really helps students access content from multiple learning avenues which appeals to all learners rather than just a few. This draft also implements a high sense of rigor within the unit where students are creating and comparing/contrasting throughout the unit which incorporates DOK levels 3 and 4.,"What support will you give your students to make the connections from microscopic (cells) to macroscopic (universe) in order for them to successfully accomplish your learning goals at the end of the unit?, What have you done previously to help your students with abstract thinking challenges? How have they responded?, Will you be picking a set model for students to compare cells too or are you letting them choose independently? Because both come with benefits and challenges to consider. ""Create a model of a cell that compares  all of its parts to something analogous  (like a city or a school)"" ",The draft is a general overview of what the unit will be about with both learning objectives for the standard and specific desired outputs. It also glosses over all the different outputs this unit will have.,They asked real questions!,1.0,It was helpful.,Pointed me to problems.,"None, but I know where it has problems now...",1.0,N'a,5.0,Great questions,3.0,"I wish they had offered suggestions in addition to just ""asking questions about""",3.0,2.0,2.5,4.0,1.0,2.0,3.0
161,"I love the way that the essential questions encapsulate the major topics and still keep it relevant to content. The formatting is incredibly pleasing, and you can see the flow of ideas from biggest to smaller as it goes onward, properly addressing the basic purpose of UBD. ","How could you expand your desired understandings to match the skills and ""SWBATs"" ?, How is this relevant to students' lives? Can you include that as an output in SWBAT?, Could you break down some common tricks to understanding a square or cube root?",This assignment was completely compliant with both the requirements and the spirit of the assignment. Each section was thoroguh and connected smoothly to the others.,"The assessor clearly understood the intent, as they were able to pinpoint specific improvements in my draft that would make it better (e.g. breaking down common tricks to understand square/cube roots).",1.0,The feedback was helpful and specific.,The assessment provided thorough and honest feedback about my draft.,"I will expand my understandings to match my skills and knowledge, add points to make this relevant to students' lives, and add techniques to break down square and cube roots.",1.0,"The assessor focused on content, not form. This rating is ""N/A"".",1.0,"Again, the assessor focused on content, not form. This rating is ""N/A"".",5.0,The assessor provided helpful feedback on how to improve several points in my unit plan.,5.0,2.5,3.5,5.0,1.0,1.0,3.0
176,"I really like the last overarching essential question the author included: ""How does trait expression affect a population over time?"" I think that conversation has potentially to be really cool if students choose to bring up gender identity and expression. ","Do you need clarification on what goes into the skill (students will be able to...) section?, What is your understanding of overarching vs. topical essential questions? Do you need to re-vise what you are asking students to consider to make the picture bigger and less focused on recalling material?, Do you think some of your unit summary could be moved to a different section of Stage 1?","The unit’s focus is stated clearly and specifically, but opens with the general understanding that students should have by the end of the unit.
I am still pretty confused about the difference between overarching and topical essential questions. The overarching essential questions are important, thought-provoking and do not have just one right answer. The topical questions are not recall questions; however, they do have a right and wrong answer to them. My understanding is that essential questions should be big ideas that we (including students) can explore.
All questions and understandings are aligned to the standards. The skills section is missing content, but I imagine the author may have been confused about what to place in that category.",They used specific quotes from my document and analyzed specific portions of it rather than generalize.,0.0,Mostly because I knew I left portions out so I didn't really need feedback or comments on my missing content.,It provided me with clarification on specific portions of stage 1 that I had not considered before.,1) I will finish it because I wasn't able to accomplish the whole assignment prior to submitting it to beagle. 2)I will reevaluate some of my sections and move some of my writing around to better fit our rubric.,3.0,They didn't really comment on grammatical errors.,4.0,They looked at content within my different sections and suggested moving some of my pieces to different sections to better fit the structure of the unit.,3.0,They saw that I left a whole section blank and commented on it.,4.0,3.0,3.0,2.5,1.0,4.0,3.5
178,I really like the sequence to the unit. It all looks like it will flow well from topic to topic!,"How can you push students to think about their belief on the origin, expansion, and  scale of the universe? You have a really cool opportunity to bring in a variety of viewpoints just with religion alone. , Under Acquisition (students will be able to...), can the first four skills be revised to align more with the content? For example, the first skill makes it sound like the skill being practiced is making a model. I think making the model would be part of stage 2 where you have criteria or evidence of understanding. , Where is the U1 standard appearing in Stage 1 (maybe I missed it!)?","The unit's focus is stated clearly and provides specific information on how the material will be sequenced.
I'm not sure if I am misunderstanding the difference between the overarching and topical essential questions, but I believe they both should be open-ended, big ideas that we can ponder because there is not absolute correct answer. The overarching questions are doing this, but I think the topical questions are not. For the topical questions, we can answer all with a correct and incorrect response. 
Everything is aligned to the standards is the unit, but I feel like U1 is being left out. I don't see evidence of how students will actively revise theories based on new evidence discovered. ",The assessor read through the standard in depth to ensure that stage 1 included all aspects. The assessor also gave feedback on multiple areas of stage 1.,1.0,The questions are framed constructively and the assessor took the time to look at my document in depth.,This feedback was very helpful! It brought light to the fact that I may have missed the mark with U1 and mentions the opportunity to incorporate diagnostic assessing at the start to the unit to get a base on where students are and what ideas they are bringing with them on the topic.,"I will investigate if I am in fact covering U1. I will not integrate religion into this lesson, I think it is best to keep church and state separate. I will edit the topical questions as needed to ensure they are open-ended, referring to the textbook for clarification.",5.0,The assessor mentioned the different types of essential questions and the U1 of my standard.,5.0,The questions were framed constructively.,5.0,The assessor was very precise and exact in areas of improvement.,5.0,4.5,5.0,4.5,2.0,3.0,5.0
182,I liked how you included a cover page that was not only informative and easy to read but it was fun and included a picture.,"How can you condense the skills section of your draft to make your draft more concise? , Have you revised your draft so that spelling and grammatical conventions are correct throughout your draft?, How can you condense the knowledge section of your draft to make it more concise?",The draft follows the requirements of the assignment because it provides a clear layout of student outcomes and expected results of the unit lessons.  It also relates the objectives and target skills to standards.,I don't feel they fully understood my skills and knowledge sections because if I condense them anymore I don't feel someone would be able to take my paper as is and know exactly what their students should be able to do at the end of the unit,-1.0,"I guess I'm defensive and confused, refer to above answer of the previous question.",It made me really happy about my cover page because I worked really hard on it.,I will check for spelling and grammar errors because that's like writing 101,3.0,"They didn't specifically point out any spelling errors which would have been helpful, but they mentioned that I should check so maybe I missed something.",4.0,They didn't really mention anything about structure aside from complimenting my cover page,2.0,"I don't feel I need to make anything more concise, I felt I made it as concise as I could without losing substance/full ideas.",4.5,3.0,4.0,4.0,2.5,4.5,2.5
